,2206,2207,2208,2209,2210,2211,2212
Score_pass_mou_SF,238,110,90,124,65,158,150
Decline_mou_SF,38,30,30,23,27,22,17
Cancel_mou_SF,4,1,,,1,,1
Score_pass_mou_UF,431,347,374,349,344,354,307
Decline_mou_UF,152,131,126,134,115,119,98
Cancel_mou_UF,5,4,5,2,,2,2
Score_pass_Nonmou_SF,304,181,165,214,110,236,170
Decline_Nonmou_SF,142,108,120,131,88,110,99
Cancel_Nonmou_SF,5,1,2,3,1,3,
Score_pass_Nonmou_UF,3,1,3,5,,,1
Decline_Nonmou_UF,1,,2,2,,,
Cancel_Nonmou_UF,,,,1,,,
